id,section_id,days,times,locations,instructors,term,title,number,code,name
5882465,880413101,{W},{8:25am-10:25am},"{""Law Building 3473""}","{""Park, J.S.""}",20S,Advanced U.S. Contract Law for Foreign Lawyers: Contract Law: Analysis and Application,413,LAW,Law
5882853,260678200,{R},{4:10pm-7pm},"{""Cornell Hall D310""}","{""Rostamian, F.D.""}",20S,Entrepreneurship and New Product Development,163,MGMT,Management
5882014,238012200,{TR},{10am-12:50pm},"{""Melnitz Hall 1409""}","{""Huang, G.J.""}",20S,Introduction to Art and Technique of Filmmaking,4,FILM TV,Film and Television
5886423,143092207,{M},{9am-11:50am},"{""Public Affairs Building 2317""}","{""Hassnaoui, A."",""Burdorff, S.F.""}",20S,Never-Ending Stories: Multidisciplinary Perspectives on Myth--Special Topics: Introduction to Popular Culture,30CW,CLUSTER,Clusters
5884413,880759101,{WF},{10:35am-12pm},"{""Law Building 1337""}","{""Wertlieb, N.J.""}",20S,Transaction Skills: Lifecycle of a Business: Life Cycle of a Business: Start-up to Sale,759,LAW,Law
5887054,143062205,{R},{12:30pm-3:20pm},{TBA},"{""Ribet, E.R."",""Ortiz, V.""}",20S,Interracial Dynamics in American Culture and Society: Special Topics: White Nationalism and Nazism in U.S.,20CW,CLUSTER,Clusters
5884393,196261200,{R},{9am-11:50am},"{""Renee and David Kaplan Hall A56""}","{""Looby, C.J.""}",20S,Topics in American Cultures: American Sex,87,ENGL,English
5883208,144835200,{R},{3pm-3:50pm},"{""Bunche Hall 2181""}","{""Macias, R.F.""}",20S,Advanced Honors Seminars: Seminar 1  ,189,CHICANO,Chicana and Chicano Studies
10586006,447450200,{MW},{4pm-5:50pm},"{""Dodd Hall 175""}","{""Hinojosa-Ojeda, R.""}",20S,U.S./Mexico Relations,M125,LBR STD,Labor Studies
5883204,324419200,{TR},{9:30am-10:45am},"{""Royce Hall 190""}","{""Johns, L.N.""}",20S,International Law,123A,POL SCI,Political Science
5881256,563683205,{T},{8:30am-11:20am},"{""Marion Anderson Hall G419""}","{""Caruso, E.M.""}",20S,Communication Development for Leaders II,421B,MGMTFT,Management-Full-Time MBA
5886719,349601203,{TR},{4pm-5:50pm},"{""Rolfe Hall 3105""}","{""Calderon, H.V.""}",20S,Topics in Contemporary Studies: Lecture 3  ,150,SPAN,Spanish
5883411,880061105,"{""Not scheduled""}","{""""}","{""""}","{""Greenberg, M.D.""}",20S,Perspectives on Law and Lawyering: Graphic Novels and the Law,561B,LAW,Law
5881115,196762202,{TR},{12pm-1:50pm},"{""Royce Hall 156""}","{""Zirulnik, M.A.""}",20S,Interdisciplinary Studies of American Culture: Lecture 3  ,177,ENGL,English
5881783,563682202,{T},{8:30am-11:20am},"{""""}","{""Mccann, R.M.""}",20S,Communication Development for Leaders,421A,MGMTFT,Management-Full-Time MBA
5885558,431769200,{F},{12pm-2:50pm},"{""Schoenberg Music Building 1343""}","{""Cheng, G.C.""}",20S,Chamber Ensembles: Flux Contemporary,C175G,MUSC,Music
5883762,880591101,{W},{5:30pm-7:30pm},"{""Law Building 1337""}","{""Horowitz, C."",""Kaur, H.""}",20S,Seminar: Climate Change: Seminar 1  ,591,LAW,Law
5881618,287016202,{MWF},{10am-11:50am},"{""Haines Hall A44""}","{""The Staff""}",20S,Elementary Standard Arabic,1C,ARABIC,Arabic
5879728,111646200,{TR},{9:30am-10:45am},"{""Fowler Museum at UCLA A103B""}","{""Park, K.R.""}",20S,Constructing Race,M144P,ANTHRO,Anthropology
5884147,318008210,{TR},{2pm-3:50pm},"{""Physics and Astronomy Building 1425""}","{""Kang, Z.""}",20S,"Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity",1C,PHYSICS,Physics
5880771,237009201,{Varies},"{""""}",{Online},"{""Nespoli, M."",""Lavagnino, C.G.""}",20S,Elementary Italian--Continued,2,ITALIAN,Italian
5886449,143092205,{M},{9am-11:50am},"{""De Neve Plaza Commons Building P349""}","{""Persaud, D.L."",""Burdorff, S.F.""}",20S,Never-Ending Stories: Multidisciplinary Perspectives on Myth--Special Topics: LA Stories: Examining Local Narratives through Visual Art and Literature,30CW,CLUSTER,Clusters
5882334,660097201,{W},{1pm-3:50pm},"{""Entrepreneurs Hall C315""}","{""Sakakibara, M.""}",20S,Tools and Analysis for Business Strategy,218,MGMT,Management
5885832,180419200,{TR},{8am-9:15am},"{""Bunche Hall 2209A""}","{""Convery, P.D.""}",20S,Finance,106F,ECON,Economics
5884128,318007210,{MTWF},{9am-9:50am},"{""Physics and Astronomy Building 1425""}","{""An, X.""}",20S,"Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields",1B,PHYSICS,Physics
10588211,326264200,{W},{3pm-3:50pm},"{""Mathematical Sciences 3915A""}","{""Feng, I."",""Evans, C.J.""}",20S,Psychedelic Drugs: From Molecular Biology to Society,88S,PSYCTRY,Psychiatry and Biobehavioral Sciences
10584879,747569207,"{""Not scheduled""}","{""To be arranged""}","{""""}","{""Timmermans, S.""}",20S,Working Group in Sociology,295,SOCIOL,Sociology
5882026,438792200,{TR},{9:30am-10:45am},"{""Dodd Hall 154""}","{""Sanders, B.""}",20S,Nonverbal Communication in Architecture,182,COMM,Communication
5882271,324141200,{TR},{9:30am-10:45am},"{""Haines Hall 118""}","{""Lofchie, M.F.""}",20S,Introduction to Comparative Politics,50,POL SCI,Political Science
5887024,356448200,{TR},{9:30am-10:50am},"{""Macgowan Hall East 101""}","{""Kleppinger, C.M.""}",20S,Dialects,124C,THEATER,Theater
5885046,728231200,{T},{12:30pm-1:45pm},"{""Franz Hall 2288""}","{""Greenfield, P.M.""}",20S,Current Developments in Developmental Psychology,241,PSYCH,Psychology
5884280,318017208,{TR},{12pm-1:50pm},"{""Knudsen Hall 2115""}","{""Bhuskute, N."",""Arisaka, K.""}",20S,Physics Laboratory for Scientists and Engineers: Electricity and Magnetism,4BL,PHYSICS,Physics
5886305,542526200,{W},{4pm-5:50pm},"{""Molecular Sciences Building 3440""}","{""Duan, X.""}",20S,Inorganic Chemistry Student Seminar,278,CHEM,Chemistry and Biochemistry
5885862,663610200,{W},{6pm-8:50pm},"{""Physics and Astronomy Building 1749""}","{""Zes, D.A.""}",20S,Data Management,405,STATS,Statistics
5878696,215010201,"{MWF,Varies}","{10am-10:50am,""""}","{""Haines Hall A20"",""""}","{""Brungardt, A.S."",""Tarnawska Senel, M""}",20S,Elementary German,2,GERMAN,German
5885953,719606207,{MWF},{8am-4:50pm},"{""""}","{""Brinderson, L.A.""}",20S,Practicum: Social Work,401C,SOC WLF,Social Welfare
5887110,545511200,{TR},{11am-12:15pm},"{""Haines Hall A18""}","{""Galic, Z."",""Zack, J.A.""}",20S,Immunology,C285,MIMG,"Microbiology, Immunology, and Molecular Genetics"
5881755,677576216,"{""Not scheduled""}","{""""}","{""""}","{""Colwell, C.S.""}",20S,Research Seminar,296,MC&IP,"Molecular, Cellular, and Integrative Physiology"
5879307,595576213,{W},{10am-11:50am},"{""Engineering V 2101""}","{""Xie, Y.""}",20S,Seminar: Advanced Topics in Materials Science and Engineering,296,MAT SCI,Materials Science and Engineering
5879769,610414280,{Varies},{---},{Online},"{""Ju, J.""}",20S,Dynamics of Structures,M269A,MECH&AE,Mechanical and Aerospace Engineering
5879475,187686206,{TR},{12pm-1:50pm},"{""Boelter Hall 3424""}","{TA,""Potkonjak, M.""}",20S,Introductory Digital Design Laboratory,M152A,COM SCI,Computer Science
5882415,660097203,{S},{2pm-8pm},"{""Entrepreneurs Hall C315""}","{""Snyder, J.A.""}",20S,Tools and Analysis for Business Strategy,218,MGMT,Management
5883919,547568206,{Varies},"{""""}","{""""}","{""Gebremichael, M.""}",20S,Advanced Topics in Civil Engineering,296,C&EE,Civil and Environmental Engineering
5886107,880850101,"{""Not scheduled""}","{""""}","{""""}","{""Taylor, L.J.""}",20S,Advanced Judicial Process,850A,LAW,Law
5885620,844600201,"{""Not scheduled""}","{""""}","{""""}","{""Arah, O.A.""}",20S,Field Studies in Epidemiology,400,EPIDEM,Epidemiology
5881990,769583200,{F},{4pm-4:50pm},"{""Boelter Hall 5252""}","{""Tang, Y.""}",20S,Research Seminar,298T,CH ENGR,Chemical Engineering
5881597,514698200,{R},{3pm-6pm},"{""Perloff Hall 1243A""}","{""Locke, A."",TA}",20S,Building Climatology,442,ARCH&UD,Architecture and Urban Design
5883685,369396200,{MW},{2pm-3:50pm},"{""Boelter Hall 2760""}","{""Lu, Y.""}",20S,Surface and Interface Engineering,C116,CH ENGR,Chemical Engineering
5880361,756622200,{W},{3:30pm-6:20pm},"{""Bunche Hall 3153""}","{""Haley, M.""}",20S,Art and Process of Entertainment Design,C446B,THEATER,Theater
5883871,187105202,{MW},{12pm-1:50pm},"{""Boelter Hall 3760""}","{TA,""Eggert, P.R.""}",20S,Software Construction Laboratory,35L,COM SCI,Computer Science
5881063,412046202,{W},{2pm-3:50pm},"{""Public Affairs Building 1323""}","{""Adams, H.A.""}",20S,Collaborative Learning Workshops for Humanities and Social Sciences Majors,15B,UNIV ST,University Studies
5887765,821578200,{T},{2pm-4:50pm},"{""Renee and David Kaplan Hall 305""}","{""Vroon, R.W.""}",20S,Seminar: History of Russian Culture,296,RUSSN,Russian
5879526,252090200,{MWF},{2pm-2:50pm},"{""Franz Hall 1178""}","{""Venugopal, S.""}",20S,Mathematics for Life Scientists,30A,LIFESCI,Life Sciences
5880670,514679200,"{""Not scheduled""}","{""To be arranged""}","{""""}","{""Paull, M."",TA}",20S,Structures III,433,ARCH&UD,Architecture and Urban Design
5878805,535270200,{MWF},{3pm-4:50pm},"{""Center for the Health Sciences 33105A""}","{""Sugar, C.A."",""Weiss, R.E.""}",20S,Advanced Seminar: Biostatistics,245,BIOSTAT,Biostatistics
5886393,328585200,{Varies},{---},{Online},"{""Ray, L.A.""}",20S,Psychology of Addiction,162,PSYCH,Psychology
10587128,196113206,{MW},{2pm-3:50pm},"{""Slichter Hall 2834""}","{""Ishikawa, M.S."",""Goyal, Y.""}",20S,Critical Reading and Writing,4W,ENGL,English
5884117,547568212,{Varies},"{""""}","{""""}","{""Margulis, S.A.""}",20S,Advanced Topics in Civil Engineering,296,C&EE,Civil and Environmental Engineering
5882019,811556200,{T},{3:30pm-4:50pm},"{""Physics and Astronomy Building 1434A""}","{""Mckeegan, K.D.""}",20S,"Current Research in Earth, Planetary, and Space Sciences",295C,EPS SCI,"Earth, Planetary, and Space Sciences"
5879314,587132200,{MW},{2pm-3:50pm},"{""Boelter Hall 3400""}","{""Eskin, E.""}",20S,Algorithms in Bioinformatics,CM222,COM SCI,Computer Science
5883415,702158200,{F},{1pm-2:50pm},"{""Factor Health Sciences Building A660A""}","{""Studer, K.M."",TA}",20S,Advanced Pharmacology II,225B,NURSING,Nursing
5884148,318017204,{MW},{2pm-3:50pm},"{""Knudsen Hall 2115""}","{""Reitz, D.R."",""Arisaka, K.""}",20S,Physics Laboratory for Scientists and Engineers: Electricity and Magnetism,4BL,PHYSICS,Physics
5883564,842600225,"{""Not scheduled""}","{""""}","{""""}","{""Cole, B.L.""}",20S,Field Studies in Environmental Health Sciences,400,ENV HLT,Environmental Health Sciences
5878691,215005200,"{MWF,Varies}","{11am-11:50am,""""}","{""Bunche Hall 3117"",""""}","{""Ziehl, K."",""Tarnawska Senel, M""}",20S,Elementary German,1,GERMAN,German
5878670,027016200,{TR},{2pm-3:15pm},"{""Fowler Museum at UCLA A139""}","{""Fluitt, A.H."",""Clark, I.E.""}",20S,Biomedical Research: Concepts and Strategies,5HA,BMD RES,Biomedical Research
5879824,586083280,{Varies},{---},{Online},"{""Mccann, R.M.""}",20S,Management Communication,214,ENGR,Engineering
5885866,157048200,{MWF},{11am-11:50am},"{""Mathematical Sciences 2000""}","{""Andrews, M.J.""}",20S,Python with Applications I,16A,COMPTNG,Program in Computing
5878984,595576202,{T},{8am-9:50am},"{""Engineering V 2101""}","{""Dunn, B.S.""}",20S,Seminar: Advanced Topics in Materials Science and Engineering,296,MAT SCI,Materials Science and Engineering
5878804,259120200,{TR},{12:30pm-1:45pm},"{""Rolfe Hall 1200""}","{""Berry, M.S.""}",20S,Popular Culture in Modern Chinese Societies,40,CHIN,Chinese
5879496,347303100,{MW},{8am-9:50am},"{""Fowler Museum at UCLA A103B""}","{""Ayala, C.J.""}",20S,Development of Sociological Theory,101,SOCIOL,Sociology
5887668,880700102,{TR},{3:20pm-5:20pm},"{""Law Building 2477""}","{""Light, J.A.""}",20S,Pretrial Civil Litigation,700,LAW,Law
5879560,349010208,{TR},{9:30am-10:45am},"{""Public Affairs Building 1270""}","{""Benvenuti, I.J."",""Tobin, S.C.""}",20S,Elementary Spanish,3,SPAN,Spanish
5881368,431586200,{Varies},"{""""}","{""""}","{""Lefkowitz, D.S.""}",20S,Advanced Composition Studio,166,MUSC,Music
5883108,542433200,"{""Not scheduled""}","{""""}","{""""}","{""Duan, X.""}",20S,"Seminar: Research in Inorganic Chemistry--Inorganic Nanostructures: Synthesis, Properties, and Functions",272K,CHEM,Chemistry and Biochemistry
5888268,839576247,{Varies},"{""""}","{""""}","{""Wang, Y.""}",20S,Seminar: Research Topics in Electrical Engineering,296,EC ENGR,Electrical and Computer Engineering
5879726,702746202,{W},{1pm-4:50pm},"{""Factor Health Sciences Building 3250""}","{""Markham, Y.K.""}",20S,Adult/Gerontology Primary Care Nurse Practitioner Practicum II,439B,NURSING,Nursing
5883754,842347201,{W},{9am-11:50am},"{""Public Health, School of 61235""}","{""Que Hee, S.S.""}",20S,Risk Assessment and Standard Setting,C257,ENV HLT,Environmental Health Sciences
5884346,327181200,{TR},{9:30am-10:45am},"{""Public Affairs Building 1222""}","{""The Staff""}",20S,Introduction to Buddhism,M60W,RELIGN,"Religion, Study of"
5879799,324070200,{MW},{12:30pm-1:45pm},"{""Haines Hall 39""}","{""Sissa, G.""}",20S,Introduction to Political Theory,10,POL SCI,Political Science
5884442,880792101,{WF},{10am-12pm},"{""Law Building 2473""}","{""Rabin, N.A.""}",20S,Immigrant Family Legal Clinic,792,LAW,Law
5879789,801024201,{W},{12pm-2:50pm},"{""Kaufman Hall 153""}","{""Foster, S.L.""}",20S,Theories of Corporeality,204,WL ARTS,World Arts and Cultures
5881251,210498200,{MW},{8am-9:50am},"{""Dodd Hall 175""}","{""Ayyaswamy, P.S.""}",20S,Engineering Thermodynamics,133A,MECH&AE,Mechanical and Aerospace Engineering
5879509,880807101,{T},{5:30pm-7:30pm},"{""""}","{""Christ, A.C.""}",20S,Part-Time Externship Seminar: Public Interest,807,LAW,Law
5883631,262460200,{MWF},{9am-9:50am},"{""Mathematical Sciences 5147""}","{""Greenfeld, R.""}",20S,Topics in Analysis,131C,MATH,Mathematics
5883594,267009200,{TR},{9:30am-10:45am},"{""Dodd Hall 161""}","{""Choi, J.B.""}",20S,Elementary Modern Korean,3,KOREA,Korean
5883214,769582200,{F},{8am-9:50am},"{""Renee and David Kaplan Hall A30""}","{""Chen, Y.Y.""}",20S,Research Seminar,298S,CH ENGR,Chemical Engineering
5880889,439792201,{W},{2pm-5:50pm},"{""Engineering IV 18132J""}","{""Mehta, A.M."",TA}",20S,Design of Robotic Systems II,183DB,EC ENGR,Electrical and Computer Engineering
410,350105200,{TR},{12pm-1:50pm},"{""Public Affairs Building 1337""}","{""Mateu Martin, V.E.""}",20W,"Spanish, Portuguese, and Nature of Language",M35,PORTGSE,Portuguese
2279,328360200,{MW},{3:30pm-4:45pm},"{""Haines Hall A2""}","{""Larison, B.J."",""Hongjamrassilp, W.""}",20W,Comparative Psychobiology,118,PSYCH,Psychology
2827,328397200,{TR},{1pm-2:50pm},"{""Franz Hall 3351""}","{""Holyoak, K."",""Gray, M.E.""}",20W,Laboratory in Cognitive Psychology,121,PSYCH,Psychology
200,260320200,"{R,Varies}","{3:30pm-6:15pm,""""}","{""Perloff Hall 1102"",""""}","{""Guerin, J.""}",20W,Business Law,108,MGMT,Management
2311,252863203,{F},{3pm-5:50pm},"{""Young Hall 2379""}","{""Pfluegl, G."",""Cao, Z.""}",20W,Methods and Application of Collaborative Learning Theory in  Life Sciences,192D,LIFESCI,Life Sciences
1608,514630204,{MWF},{2pm-5:50pm},"{""Perloff Hall""}","{""Koerner-Al-Rawi, J""}",20W,Building Design Studio,412,ARCH&UD,Architecture and Urban Design
4266,782144200,{MW},{12pm-1:50pm},"{""Engineering VI Mong Learning Center""}","{""Halperin, E.""}",20W,Machine Learning Applications in Genetics,M224,BIOINFO,Bioinformatics (Graduate)
3798,839037200,{MW},{8am-9:50am},"{""Boelter Hall 2444""}","{""Kadambi, A.""}",20W,Digital Image Processing I,211A,EC ENGR,Electrical and Computer Engineering
3382,547001202,{T},{1pm-1:50pm},"{""Kinsey Science Teaching Pavilion 1200B""}","{""Gallien, T.""}",20W,Civil and Environmental Engineering Graduate Seminar,200,C&EE,Civil and Environmental Engineering
1236,149029201,{MWF},{9am-9:50am},"{""Dodd Hall 162""}","{""Zenios, S.""}",20W,Intermediate Modern Greek,9B,GREEK,Greek
81,667577200,{R},{3pm-5:50pm},"{""Royce Hall 148""}","{""Lee, N.""}",20W,Seminar: Topics in Modern Korean Cultural History,296B,KOREA,Korean
74,565614201,{T},{8:30am-11:20am},"{""Gold Hall B301""}","{""Lochstoer, L.A.""}",20W,Empirical Methods in Finance,407,MGMTMFE,Management-Master of Financial Engineering
2563,583061201,{W},{4pm-7:50pm},"{""Moore Hall 2120""}","{""Solorzano, D.G.""}",20W,Minority Education in Cross-Cultural Perspective,204D,EDUC,Education
3158,187336200,{MW},{2pm-3:50pm},"{""Dodd Hall 147""}","{""Xu, H.""}",20W,Operating Systems Principles,111,COM SCI,Computer Science
3061,786030200,{MW},{10am-11:50am},"{""La Kretz Hall 101""}","{""Buonomano, D."",""Kingsbury, L.E."",""Iacoboni, M."",""Feldman, J.L.""}",20W,Systems Neuroscience,205,NEURO,Neuroscience (Graduate)
5313,356664200,{MW},{9am-11:50am},"{""Macgowan Hall 1340""}","{""Araiza, J.E.""}",20W,Directing for Stage,163A,THEATER,Theater
1404,719067201,{TR},{8am-9:15am},"{""Public Affairs Building 4371""}","{""Santos, C.E.""}",20W,Human Behavior in Social Environment: Theoretical Perspectives in Social Work and Social Welfare II,211B,SOC WLF,Social Welfare
4311,728306201,{Varies},"{""""}","{""""}","{""Castel, A.D.""}",20W,Research Methods,251A,PSYCH,Psychology
2125272,119876201,{Varies},"{""""}","{""""}","{""Wickman, P.A.""}",20W,Community Internships in Art,195,ART,Art
2825,840312200,{MW},{10am-11:50am},"{""Public Health, School of 61269""}","{""Needleman, J."",""Snyder, D.L.""}",20W,Health Policy Analysis,M252,COM HLT,Community Health Sciences
2205,250306200,{TR},{10am-11:50am},"{""Engineering V 5101""}","{""Kamei, D.T.""}",20W,Engineering Principles for Drug Delivery,C101,BIOENGR,Bioengineering
93,238352200,{TR},{2pm-3:50pm},"{""Melnitz Hall 2534""}","{""Flanagan, K.M.""}",20W,Advanced Topics in Documentary: New Documentary Forms,109,FILM TV,Film and Television
3500313,328834205,{Varies},"{""""}","{""""}","{""Castel, A.D.""}",20W,Honors Contracts,189HC,PSYCH,Psychology
4700,628535203,{T},{5:30pm-9pm},"{""Education and Information Studies Building 111""}","{""Everett, D.""}",20W,Seminar: Special Issues in Information Studies: Moving Image Technology,289,INF STD,Information Studies
850,028533200,{M},{1:30pm-2:50pm},"{""Semel Institute for Neuroscience and HumanBehavior 78233""}","{""Freeman, S.F."",""Paparella, T.""}",20W,Applied Autism Intervention: Multidisciplinary Perspective,138SL,DIS STD,Disability Studies
1980,347449100,{TR},{12:30pm-1:45pm},"{""Dodd Hall 121""}","{""Anderson, T.L.""}",20W,Sociology of Emotions,128,SOCIOL,Sociology
139,542103200,"{""Not scheduled""}","{""""}","{""""}","{""Neuhauser, D.""}",20W,Seminar: Research in Physical Chemistry--Modern Methods for Molecular Reactions and Structure,219L,CHEM,Chemistry and Biochemistry
5148,194481202,{TR},{12pm-1:50pm},"{""Bunche Hall 2181""}","{""Hitchner, T.A.""}",20W,Specialized Writing: Business and Social Policy,131B,ENGCOMP,English Composition
2242018,269889208,{Varies},"{""""}","{""""}","{""Clark, A.T.""}",20W,"Honors Research in Molecular, Cell, and Developmental Biology",198B,MCD BIO,"Molecular, Cell, and Developmental Biology"
1161,288372200,{MWF},{10am-11:50am},"{""Bunche Hall 2174""}","{""Martirosyan, H.K.""}",20W,Intermediate Modern Eastern Armenian,105B,ARMENIA,Armenian
2915,660294200,{T},{8:30am-11:20am},"{""Cornell Hall D313""}","{""Firstenberg, I.""}",20W,Patterns of Problem Solving,250D,MGMT,Management
3282,349540102,{MW},{2pm-3:50pm},"{""Rolfe Hall 3105""}","{""van Delden, M.H.""}",20W,Topics in Modern Studies: Narratives of Mexican Revolution,140,SPAN,Spanish
4904,684604206,"{""Not scheduled""}","{""""}","{""""}","{""Kareiva, P.M.""}",20W,Environmental Science and Engineering Problems Course,400,ENVIRON,Environment
790,238552200,"{TR,R}","{10am-12:50pm,10am-12:50pm}","{""Melnitz Hall 2536"",""Melnitz Hall 1470""}","{""Barminski, W.J.""}",20W,Digital Imagery and Visualization,C142,FILM TV,Film and Television
1188,196773204,{TR},{12pm-1:50pm},"{""Boelter Hall 5436""}","{""Seltzer, M.I.""}",20W,"Topics in Literature, circa 1850 to Present: Networks, Systems, Media",179,ENGL,English
149,142858200,{W},{4pm-5:50pm},"{""Molecular Sciences Building 5241""}","{""Gomez, F.""}",20W,Journal Club Seminars: UC LEADS and MARC,193A,CHEM,Chemistry and Biochemistry
5402,628589201,{T},{9am-12:30pm},"{""Education and Information Studies Building 121""}","{""Caswell, M.L.""}",20W,Special Topics in Methodology of Information Studies: Critical Theory and LIS,298B,INF STD,Information Studies
3358,431666200,{TR},{3pm-5:50pm},"{""Schoenberg Music Building 1343""}","{""Anderson, D.P."",""Bastos Do Nascimen"",""Mallampalli, D."",""Tran, D.K.""}",20W,Philharmonia,C185E,MUSC,Music
3205,844186201,{W},{9am-11:50am},"{""Public Health, School of 71257""}","{""Kim-Farley, R.J.""}",20W,Principles of Control of Infectious Diseases,231,EPIDEM,Epidemiology
730,283336200,{T},{12pm-2:50pm},"{""Student Activities Center B20B""}","{""Patitsas, N.D.""}",20W,Fundamentals of Maneuver Warfare,104,NAV SCI,Naval Science
1323,111385100,{TR},{9:30am-10:45am},"{""Dodd Hall 161""}","{""Rensel, M.A."",""Schlinger, B.""}",20W,Hormones and Behavior in Humans and Other Animals,M128R,ANTHRO,Anthropology
699,719078202,{TR},{11am-12:15pm},"{""Public Affairs Building 4371""}","{""Moio, J.A.""}",20W,Social Welfare Research Methods,213A,SOC WLF,Social Welfare
358,438660200,{MWF},{4pm-4:50pm},"{""Public Affairs Building 1222""}","{""Groeling, T.J.""}",20W,Political Communication,160,COMM,Communication
3740,511320201,{F},{1pm-3:50pm},"{""Fowler Museum at UCLA A312""}","{""Quon, S.""}",20W,Selected Laboratory Topics in Archaeology: Paleoethnobotany,CM217,ANTHRO,Anthropology
2635284,269896208,{Varies},"{""""}","{""""}","{""Miceli, M.C.""}",20W,"Directed Research in Molecular, Cell, and Developmental Biology",199B,MCD BIO,"Molecular, Cell, and Developmental Biology"
2222,519366202,{Varies},"{""""}","{""""}","{""Herman, R.R.""}",20W,Graduate Painting,271,ART,Art
3801,587581206,"{""Not scheduled""}","{""""}","{""""}","{""Cong, J.J.""}",20W,Research Seminar: Computer Science,298,COM SCI,Computer Science
1294,218636200,{MWF},{12pm-12:50pm},"{""Haines Hall 110""}","{""Wen, P.J.""}",20W,Scandinavian Literature of 20th Century,156,SCAND,Scandinavian
629,438830200,{MW},{11am-12:15pm},"{""Public Affairs Building 2270""}","{""Joo, J.""}",20W,Variable Topics in Communication Technology and Digital Systems: Introduction to Data Science,188C,COMM,Communication
164,514607201,{R},{11am-2pm},"{""Perloff Hall 1220""}","{""Abe, H.""}",20W,Research Studio,403B,ARCH&UD,Architecture and Urban Design
1399,535050200,{F},{3pm-5:50pm},"{""Haines Hall A6""}","{""Heuveline, P.C.""}",20W,Introduction to Demographic Methods,M208,BIOSTAT,Biostatistics
3854,747198100,{W},{9am-11:50am},"{""Bunche Hall 2121""}","{""Walker, E.T.""}",20W,Foundations of Political Sociology,233,SOCIOL,Sociology
2518,157102200,{MWF},{11am-11:50am},"{""Mathematical Sciences 6201""}","{""Azencot, O.""}",20W,Principles of Java Language with Applications,20A,COMPTNG,Program in Computing
707,328305200,{M},{8am-9:50am},"{""Haines Hall 39""}","{""Firstenberg, I."",""Murray, C.A."",""Serrano Careaga, J""}",20W,Research Methods in Psychology,100B,PSYCH,Psychology
