subject_area,subj_code,title,number,section_ids
Society and Genetics,SOC GEN,Capstone Seminar: Society and Genetics,191S,{1075}
Design / Media Arts,DESMA,Capstone Senior Project: Interactivity and Games,159A,{5887229}
Design / Media Arts,DESMA,Capstone Senior Project: Video and Animation,159B,{5887560}
Design / Media Arts,DESMA,Capstone Senior Project: Visual Communication and Image,159C,{5886535}
Music,MUSC,Capstone Voice Recital,168,"{5886505,5886523,4593}"
Epidemiology,EPIDEM,Cardiovascular Epidemiology,240,{5882866}
Economics,ECON,Career Development,185,"{3296,5884146}"
Theater,THEATER,Career Development for Actors,181,{5887827}
Life Sciences,LIFESCI,Career Exploration in Life Sciences,110,"{5879517,423}"
Molecular Biology,MOL BIO,Career Readiness Inside and Outside Academy: Seminar 1  ,497,{13887299}
Anthropology,ANTHRO,Careers in Anthropology,141,{4400}
Chemistry and Biochemistry,CHEM,Careers in Chemistry and Biochemistry,147,"{308,5879249}"
Statistics,STATS,Careers in Statistics,186,{554}
Art History,ART HIS,Caribbean Art,144,{2548}
Education,EDUC,Case-Study Research in Education Policy and Practice,272,{4739}
Spanish,SPAN,Catalan Language and Culture I,11A,{2781}
Spanish,SPAN,Catalan Language and Culture II,11B,{5879444}
Latin,LATIN,Catullus,106,{5886015}
Political Science,POL SCI,Causal Inference for Social Science,200C,{5882254}
Music,MUSC,Celebrating Cultural Diversity of Immigrants through Music,19,{2284}
Life Sciences,LIFESCI,Cell and Molecular Biology,7A,"{3233,5887979,580,5887957,132}"
"Microbiology, Immunology, and Molecular Genetics",MIMG,Cell Biology of Nucleus,132,{5887915}
Physiological Science,PHYSCI,Cell Biophysics in Physiology and Disease,174,{5884191}
Neuroscience (Graduate),NEURO,"Cell, Developmental, and Molecular Neurobiology",M201,{5882625}
Chemical Engineering,CH ENGR,Cell Material Interactions,C124,{810}
Chemical Engineering,CH ENGR,Cell Material Interactions,C224,{680}
Neuroscience,NEUROSC,Cellular and Molecular Mechanisms of Learning and Memory,181,{5881973}
Chicana and Chicano Studies,CHICANO,Censored! Art on Trial,M136,{5878782}
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS,Censored! Art on Trial,M136,{10586680}
English,ENGL,Censoring Hollywood: Reading Cinema through Production Code,98TA,{884}
Chicana and Chicano Studies,CHICANO,Central American Studies: Histories and Cultures,20,{5883265}
Near Eastern Languages,NR EAST,"Central Asian Studies: Discipline, Methods, Debates",M287,{1565}
Art,ART,Ceramics,11E,"{2634,5884138}"
Music,MUSC,Chamber Ensembles: Brass: Activity 1  ,C175A,{3940}
Music,MUSC,Chamber Ensembles: Brass: Activity 1  ,C485A,{5407}
Music,MUSC,Chamber Ensembles: Flux Contemporary,C175G,"{5885558,3126}"
Music,MUSC,Chamber Ensembles: Flux Contemporary,C485G,"{5885190,3786}"
Music,MUSC,Chamber Ensembles: Guitar,C175B,{1457}
Music,MUSC,Chamber Ensembles: Guitar,C485B,{1181}
Music,MUSC,Chamber Ensembles: Percussion,C175D,"{959,5887484}"
Music,MUSC,Chamber Ensembles: Percussion,C485D,"{5881960,5468}"
Music,MUSC,Chamber Ensembles: Piano,C485C,{7369820}
Music,MUSC,Chamber Ensembles: Strings,C175E,{1866}
Music,MUSC,Chamber Ensembles: Strings,C485E,"{4892,5885415}"
Music,MUSC,Chamber Ensembles:  Woodwinds,C175F,"{1192,5887500}"
Music,MUSC,Chamber Ensembles:  Woodwinds,C485F,"{2681,3341}"
Music,MUSC,Chamber Singers,C185B,{1359}
Music,MUSC,Chamber Singers,C480B,{3710}
Theater,THEATER,Character Development through Makeup and Hair Design,C122,{5886059}
Theater,THEATER,Character Development through Makeup and Hair Design,C222,{5884232}
English,ENGL,"Chaucer: ""Canterbury Tales""",140A,"{5886828,5189}"
Chemical Engineering,CH ENGR,Chemical and Biomolecular Engineering Laboratory I,104A,"{5132,5883698}"
Chemical Engineering,CH ENGR,Chemical and Biomolecular Engineering Laboratory II,104B,{5879831}
Environmental Health Sciences,ENV HLT,Chemical Behavior of Aquatic Systems,261,{2155}
Chemistry and Biochemistry,CHEM,Chemical Energetics and Change,20B,"{5882016,2556,826,2557}"
Chemistry and Biochemistry,CHEM,Chemical Energetics and Change (Honors),20BH,{2926}
Civil and Environmental Engineering,C&EE,Chemical Fate and Transport in Aquatic Environments,154,"{1439,1325}"
Chemistry and Biochemistry,CHEM,Chemical Physics Seminar,228,"{5339,5885561}"
Chemistry and Biochemistry,CHEM,Chemical Principles,17,{4573}
Chemical Engineering,CH ENGR,Chemical Process Computer-Aided Design and Analysis,108B,{5878817}
Chemistry and Biochemistry,CHEM,Chemical Structure,20A,{2819}
Chemistry and Biochemistry,CHEM,Chemistry of Biology Seminar,206,"{5887760,1580}"
Chemistry and Biochemistry,CHEM,Chemistry Student Exit Seminar,218,{2577}
Chicana and Chicano Studies,CHICANO,Chicana and Chicano Rhetoric,161,{2869}
Chicana and Chicano Studies,CHICANO,Chicana and Latin American Women's Narrative,C141,{4613}
Chicana and Chicano Studies,CHICANO,Chicana and Latin American Women's Narrative,C251,{2430}
World Arts and Cultures,WL ARTS,Chicana Art and Artists,M128,{372}
Chicana and Chicano Studies,CHICANO,Chicana Art and Artists,M175,{2258}
Art,ART,Chicana Art and Artists,M184,{5038}
Chicana and Chicano Studies,CHICANO,Chicana/Chicano Folklore,109,{548}
Chicana and Chicano Studies,CHICANO,Chicana/Chicano Images in Mexican Film and Literature,117,{5883273}
Chicana and Chicano Studies,CHICANO,"Chicana/Chicano Literature since el Movimiento, 1970s to Present",M105C,{1214}
English,ENGL,"Chicana/Chicano Literature since el Movimiento, 1970s to Present",M105C,{1347}
Chicana and Chicano Studies,CHICANO,Chicana Feminism,CM110,{3373}
Gender Studies,GENDER,Chicana Feminism,CM132A,{1688}
Chicana and Chicano Studies,CHICANO,Chicano/Latino Community Formation: Critical Perspectives and Oral Histories,M119,{3393}
Labor Studies,LBR STD,Chicano/Latino Community Formation: Critical Perspectives and Oral Histories,M123,{2921}
Chicana and Chicano Studies,CHICANO,Chicano Narrative,M146,{1587}
Spanish,SPAN,Chicano Narrative: Chicana and Chicano Narrative,M155A,{3044}
Social Welfare,SOC WLF,Child and Adolescent Trauma,231S,{2546}
Community Health Sciences,COM HLT,Child and Family Health Program Community Leadership Seminar,M428,{5879223}
Health Policy and Management,HLT POL,Child and Family Health Program Community Leadership Seminar,M428,{5880261}
Community Health Sciences,COM HLT,Child and Reproductive Health in Communities: Global Environmental Perspective,240,{3621}
Community Health Sciences,COM HLT,"Child Health, Programs, and Policies",M436A,{1867}
Health Policy and Management,HLT POL,"Child Health, Programs, and Policies",M449A,{3311}
Nursing,NURSING,Childhood Development: Research and Application to Nursing,223,{3252}
Law,LAW,China in the International Legal Order,468,{5887277}
Art History,ART HIS,Chinese Art,29,{5885853}
Art History,ART HIS,Chinese Art: Seminar 1  ,249B,{5881012}
Chinese,CHIN,Chinese Civilization,50,{396}
Chinese,CHIN,Chinese-Language Cinemas,213A,{5878866}
"Religion, Study of",RELIGN,Christianities East and West,M40,{917}
Slavic,SLAVC,Christianities East and West,M40,{2137}
Film and Television,FILM TV,Cinema and Media Studies Graduate Colloquium,212,{1823488}
Communication,COMM,Cinema Therapy: Movies and Mental Health,19,{769}
Film and Television,FILM TV,Cinematography,150,{944}
Film and Television,FILM TV,Cinematography,410B,{3605}
Electrical and Computer Engineering,EC ENGR,Circuit Measurements Laboratory,110L,"{309,1812,5887223,5887248,650}"
Electrical and Computer Engineering,EC ENGR,Circuits Laboratory I,11L,{639}
Electrical and Computer Engineering,EC ENGR,Circuits Laboratory II,111L,"{2366,5885892}"
Electrical and Computer Engineering,EC ENGR,Circuit Theory I,10,{2666}
Electrical and Computer Engineering,EC ENGR,Circuit Theory II,110,{5878754}
Electrical and Computer Engineering,EC ENGR,Circuit Theory II (Honors),110H,{2469}
Geography,GEOG,Cities of Europe,152,{686}
Civil and Environmental Engineering,C&EE,Civil and Environmental Engineering Graduate Seminar,200,"{3382,162,5886097,5886122}"
Law,LAW,Civil Procedure in Practice - Problems and Reforms,454,{5883464}
Law,LAW,Civil Rights,214,{5881364}
Law,LAW,Civil Rights and Policy Accountability Clinic,708,{5885799}
Public Affairs,PUB AFF,"Civil Society, Nonprofit Organizations, and Philanthropy: Comparative Perspectives",170,{1590}
Chemistry and Biochemistry,CHEM,Classical and Statistical Thermodynamics,C123B,{188}
Chemistry and Biochemistry,CHEM,Classical and Statistical Thermodynamics,C223B,{3419}
Art History,ART HIS,Classical Archaeology: Greco-Roman Painting,M114C,{1310}
Classics,CLASSIC,Classical Archaeology: Greco-Roman Painting,M153K,{2372}
Art History,ART HIS,Classical Archaeology: Greco-Roman Sculpture,M114B,{5880632}
Classics,CLASSIC,Classical Archaeology: Greco-Roman Sculpture,M153J,{5882614}
Mathematics,MATH,Classical Fourier Analysis,247A,{225}
Mathematics,MATH,Classical Fourier Analysis,247B,{5882304}
Electrical and Computer Engineering,EC ENGR,Classical Laser Theory,271,{2497}
Classics,CLASSIC,Classical Mythology,30,{5878839}
Iranian,IRANIAN,Classical Persian Texts,220B,"{2437,5886930}"
Theater,THEATER,Classical Vocal Comedy and Performance,424H,{5882204}
Science Education,SCI EDU,Classroom Practices in Elementary School Science,1SL,"{3246,5887748,749}"
Science Education,SCI EDU,Classroom Practices in High School Science,100SL,{975}
Science Education,SCI EDU,Classroom Practices in Middle School Science,10SL,{5887769}
Atmospheric and Oceanic Sciences,A&O SCI,Climate Change and Climate Modeling,102,{5886887}
Atmospheric and Oceanic Sciences,A&O SCI,Climate Change Assessment,112,{5884253}
Atmospheric and Oceanic Sciences,A&O SCI,Climate Change: From Puzzles to Policy,1,"{5887692,415}"
Atmospheric and Oceanic Sciences,A&O SCI,Climate Change: From Puzzles to Policy--Laboratory,1L,"{5098,5885822}"
Geography,GEOG,Climatology,104,{5882639}
Psychology,PSYCH,Clinical Assessment Supervision,410E,{2939}
Psychology,PSYCH,Clinical Assessment Supervision,410F,{5885358}
Nursing,NURSING,Clinical Internship: Integration,169,"{5886316,5886367,5886353,5886416}"
Nursing,NURSING,Clinical Internship: Integration,467,"{5075,5021,4630,4139,4365,4140,4142}"
Neuroscience,NEUROSC,Clinical Neuroscience: New Concepts in Neurological Disorders,179,{5881971}
Nursing,NURSING,Clinical Prevention and Population Health,406,{3143}
Psychology,PSYCH,Clinical Psychological Methods,271B,{3043}
Psychology,PSYCH,Clinical Psychological Methods,271C,{5885050}
Psychology,PSYCH,Clinical Psychology Laboratory,126,{5885388}
Psychology,PSYCH,Clinical Research Laboratory,271E,{723}
Psychology,PSYCH,Clinical Research Laboratory,271F,{5880463}
Psychology,PSYCH,Clinical Teaching and Supervision,410B,{4839}
Digital Humanities,DGT HUM,Coding for Humanities: Seminar 1  ,140,{3114}
Psychology,PSYCH,Cognition and Successful Aging,124G,{4016}
Statistics,STATS,Cognitive Artificial Intelligence,232C,{5887778}
Psychology,PSYCH,Cognitive Development,133B,{4987}
Psychology,PSYCH,Cognitive Neuroscience,119C,{5881064}
Psychology,PSYCH,Cognitive Psychology,120A,"{3046,5882213}"
Psychology,PSYCH,Cognitive Science Laboratory: Introduction to Theory and Simulation,186A,{5887399}
Psychology,PSYCH,Cognitive Science Laboratory: Neural Networks,186B,{5885057}
Psychology,PSYCH,Cognitive Science Laboratory: Psychophysical Theories and Methods,186C,{3919}
Central and East European Studies,C&EE ST,Coldwar Central European Culture,126,{5878698}
Environment,ENVIRON,Collaborative Cooking: Recipes for Social Justice,88S,{10589739}
University Studies,UNIV ST,Collaborative Learning Workshops for Humanities and Social Sciences Majors,15A,"{3944,3542}"
University Studies,UNIV ST,Collaborative Learning Workshops for Humanities and Social Sciences Majors,15B,"{5881041,5881063}"
"Molecular, Cell, and Developmental Biology",MCD BIO,"Collaborative Undergraduate Research Laboratory in Yeast, Genetics, and Molecular Biology",30H,{3635}
Sociology,SOCIOL,Collective Behavior,133,{683}
Education,EDUC,College Access Seminar,281,{5326}
Psychology,PSYCH,College Students and Noncommitment: Is Hookup Culture Changing Modern Romance?,88S,{10589327}
Linguistics,LING,College Teaching of Linguistics,495,{14733234}
International Development Studies,INTL DV,Colloquia and Speaker Series,193,"{11681487,2357}"
International Migration Studies,I M STD,Colloquia and Speaker Series,193,"{5882074,2289}"
History,HIST,Colloquium: African History,275B,{510}
Political Science,POL SCI,"Colonialism, Discourse, and Democracy",163B,{5885016}
World Arts and Cultures,WL ARTS,Colonialisms and Resistance: Lecture 1  ,33,{5882119}
Art History,ART HIS,Colonial Latin American Art,C241,{5885222}
Art History,ART HIS,Colonial Latin American Art,CM141,{10586043}
Chicana and Chicano Studies,CHICANO,Colonial Latin American Art,M187B,{10587352}
Mathematics,MATH,Combinatorial Theory,206B,{4417}
Ecology and Evolutionary Biology,EE BIOL,Communicating Science to Informal Audiences,C179,{1987}
Engineering,ENGR,Communicating Undergraduate Research Results,25,{150}
Communication,COMM,Communication Development,121,{5885535}
Management-Full-Time MBA,MGMTFT,Communication Development for Leaders,421A,"{5881928,5881783,5881952,5881865}"
Management-Full-Time MBA,MGMTFT,Communication Development for Leaders II,421B,"{5881135,5881256,5881099,5881233,5881216,5881322,5881296,5881352}"
Biomathematics,BIOMATH,Communication of Science,M262,{2213}
Communication,COMM,Communication Science,100,{3942}
Management,MGMT,"Communication Technology, Programming, and Accounting",142B,{5885533}
Anthropology,ANTHRO,Community and Corporate Internships in Anthropology,195CE,"{2117,109}"
Community Engagement and Social Change,CESC,Community and Corporate Internships in Community Engagement and Social Change,195CE,{28}
Disability Studies,DIS STD,Community and Corporate Internships in Disability Studies,195CE,{53}
English,ENGL,Community and Corporate Internships in English,195CE,{1174}
Food Studies,FOOD ST,Community and Corporate Internships in Food Studies,195CE,{2664550}
History,HIST,Community and Corporate Internships in History,195CE,"{147,15189571}"
Political Science,POL SCI,Community and Corporate Internships in Political Science,195CE,"{15373573,105}"
Society and Genetics,SOC GEN,Community and Corporate Internships in Society and Genetics,195CE,"{3344,14733274}"
Sociology,SOCIOL,Community and Corporate Internships in Sociology,195CE,{1009}
Information Studies,INF STD,Community-Based Archiving,433,{5883110}
Health Policy and Management,HLT POL,Community-Based Participatory Health Research: Methods and Applications,266B,{2315}
Social Science,SOC SC,Community-Based Research,430,{899}
Urban Planning,URBN PL,Community-Based Research in Planning,185SL,{873}
Urban Planning,URBN PL,Community Economic Development,271A,{5883942}
Labor Studies,LBR STD,Community Engaged Research in Practice: Community Scholars,M190B,{3988}
Labor Studies,LBR STD,Community Engaged Research in Practice: Community Scholars,M190C,{5883202}
Art,ART,Community Internships in Art,195,"{3232221,8151688,2125272}"
Psychology,PSYCH,Community Internships in Psychology,195A,{2560}
Social Welfare,SOC WLF,Community Internships in Social Welfare,195,{2669861}
Spanish,SPAN,Community Internships in Spanish,195,{78461}
Urban Planning,URBN PL,Community Internships in Urban Planning,195,{3343350}
Asian American Studies,ASIA AM,Community or Corporate Internships in Asian American Studies,195,"{1341,2343}"
Design / Media Arts,DESMA,Community or Corporate Internships in Design | Media Arts,195A,"{3814579,2959162,2365593,1824012}"
Design / Media Arts,DESMA,Community or Corporate Internships in Design | Media Arts,195B,"{2530798,3570664,2530819}"
Digital Humanities,DGT HUM,Community or Corporate Internships in Digital Humanities,195,"{11956433,1284}"
Environment,ENVIRON,Community or Corporate Internships in Environmental Science,195,"{3569804,1570}"
Geography,GEOG,Community or Corporate Internships in Geography,195,{1175}
Gerontology,GRNTLGY,Community or Corporate Internships in Gerontology,195CE,"{76528,2428259}"
Labor Studies,LBR STD,Community or Corporate Internships in Labor and Workplace Studies,195A,{2726}
Linguistics,LING,Community or Corporate Internships in Linguistics,195,{2393315}
Music Industry,MSC IND,Community or Corporate Internships in Music Industry and Technology,195,"{1741,2296,1183}"
Statistics,STATS,Community or Corporate Internships in Statistics,195,"{1823479,502,2834701,17320556,17025160,17071403,13343049,505,2263169,504,13918910,503,2664338}"
Theater,THEATER,"Community or Corporate Internships in Theater, Film, and Television",195,"{10588558,5109}"
World Arts and Cultures,WL ARTS,Community or Corporate Internships in World Arts and Cultures,195,"{6626755,3759955,1823947}"
Education,EDUC,Community Service Learning for Academic Achievement,185,"{5887162,854}"
Sociology,SOCIOL,Comparative Acculturation and Assimilation,152,{5880790}
Sociology,SOCIOL,Comparative American Indian Societies,M161,{17304597}
Public Affairs,PUB AFF,"Comparative Analysis of Wealth, Policy, and Power",30,{5887728}
Sociology,SOCIOL,Comparative and Historical Methods: Research Techniques,211B,{5883119}
Sociology,SOCIOL,Comparative and Historical Methods: Strategies of Research and Conceptualization,211A,{3159}
Sociology,SOCIOL,Comparative Immigration,151,{2474}
American Indian Studies,AM IND,Comparative Indigenous Societies,261,{5882546}
Education,EDUC,Comparative Political Economy of Education and Skills,235,{5885959}
Psychology,PSYCH,Comparative Psychobiology,118,"{5881858,2279}"
Music,MUSC,Comparative Study of Choral Music Education,110C,{2394}
Music,MUSC,Comparative Study of Instrumental Music Education,110D,{5884002}
Management-Master of Science in Business Analytics,MGMTMSA,Competitive Analytics,409,{5881121}
Community Health Sciences,COM HLT,Complementary and Alternative Medicine,276,{261}
Mathematics,MATH,Complex Analysis,246B,{282}
Mathematics,MATH,Complex Analysis,246C,{5887197}
Mathematics,MATH,Complex Analysis for Applications,132,"{5887195,3744,5434,5887221}"
Mathematics,MATH,Complex Analysis (Honors),132H,{5328}
Law,LAW,Complex Financial Transactions,343,{5879826}
Law,LAW,Complex Litigation,210,{5883655}
Mechanical and Aerospace Engineering,MECH&AE,Compliant Mechanism Design,294A,{4698}
Mechanical and Aerospace Engineering,MECH&AE,Composites Manufacturing,M297C,"{5881804,17305282}"
Music,MUSC,Composition Forum,290,{5887464}
Music,MUSC,Composition Studio,66,"{324,940,5887506,5887470}"
Urban Planning,URBN PL,Comprehensive Planning Project,217A,"{3375,3374}"
Urban Planning,URBN PL,Comprehensive Planning Project,217B,"{5884318,5884288}"
Architecture and Urban Design,ARCH&UD,Comprehensive Studio,415,"{713,761,993,712}"
Economics,ECON,Computational Finance and Data Analysis for Financial Engineering,147,{4056}
Economics,ECON,Computational Finance and Data Analysis for Financial Engineering Laboratory,147L,{4205}
Linguistics,LING,Computational Linguistics I,185A,"{1657,5886415}"
Chemistry and Biochemistry,CHEM,Computational Methods for Chemists,C126A,{2842}
Chemistry and Biochemistry,CHEM,Computational Methods for Chemists,C226A,{4744}
Electrical and Computer Engineering,EC ENGR,Computational Methods for Electromagnetics,266,{10587378}
Computer Science,COM SCI,Computational Methods for Medical Imaging,168,{5884663}
Management-Master of Financial Engineering,MGMTMFE,Computational Methods In Finance,405,"{5884981,5884931}"
Bioinformatics (Graduate),BIOINFO,Computational Methods in Genomics,M225,{4155}
Computer Science,COM SCI,Computational Methods in Genomics,M225,{5324}
Human Genetics,HUM GEN,Computational Methods in Genomics,M265,{2286}
Physics,PHYSICS,Computational Physics and Astronomy Laboratory,180N,{5885263}
Bioengineering,BIOENGR,Computational Systems Biology: Modeling and Simulation of Biological Systems,CM186,{1521}
Computer Science,COM SCI,Computational Systems Biology: Modeling and Simulation of Biological Systems,CM186,{13}
Bioengineering,BIOENGR,Computational Systems Biology: Modeling and Simulation of Biological Systems,CM286,{2764}
Computer Science,COM SCI,Computational Systems Biology: Modeling and Simulation of Biological Systems,CM286,{3578}
Ecology and Evolutionary Biology,EE BIOL,Computational Systems Biology: Modeling and Simulation of Biological Systems,M178,{1603}
Computational and Systems Biology,C&S BIO,Computational Systems Biology: Modeling and Simulation of Biological Systems,M186,{2954}
Education,EDUC,Computer Analyses of Empirical Data in Education,221,{5888222}
Film and Television,FILM TV,Computer Applications for Film Study,224,{1168}
Statistics,STATS,Computer Intensive Methods,414,{3796}
Epidemiology,EPIDEM,Computer Management and Analysis of Health Data Using SAS,M403,{613}
Communication,COMM,Computer-Mediated Communication,151,{5275}
Materials Science and Engineering,MAT SCI,Computer Methods and Instrumentation in Materials Science,141L,{980}
Computer Science,COM SCI,Computer Network Fundamentals,118,"{5879276,2263}"
Computer Science,COM SCI,Computer Science Seminar,201,"{5883330,2395}"
Computer Science,COM SCI,Computer Security,236,{5882841}
Materials Science and Engineering,MAT SCI,Computer Simulations of Materials,270,{5880779}
Computer Science,COM SCI,Computer Systems Architecture,M151B,"{5886198,47}"
Physics and Biology in Medicine,PBMED,Computer Vision in Medical Imaging,210,{1403}
Ancient Near East,AN N EA,Conceptions of Race in Ancient Egypt,175,{1656}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Biological Clocks and Related Metabolic Syndromes,254D,{1185}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Cancer Metabolism,254D,{4376}
Molecular Biology,MOL BIO,"Concepts in Molecular Biosciences: From Fly to Human, and Back",254D,{201}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Genetic Approaches to Study of Metabolism,254C,{462}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Genetic Control of Morphogenesis and Neuronal Wiring in Central Nervous System,254C,{2453}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Lecture 1  ,254C,{4210}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Mechanisms of Microbial Pathogenesis,254D,{4381}
Molecular Biology,MOL BIO,Concepts in Molecular Biosciences: Using Genetics to Characterize Stem Cells in Development and Disease,254C,{460}
Community Health Sciences,COM HLT,Conceptualizing and Measuring Structural Racism,227,{4374}
Musicology,MUSCLG,"Concert Halls, Clubs, and Cathedrals: Music and Acoustics in Performance Spaces",98T,{5885337}
World Arts and Cultures,WL ARTS,Condom Couture: Arts Activism of Adriana Bertini,19,{615}
Communication,COMM,Conflict and Communication,111,{662}
Anthropology,ANTHRO,Conquest and Colonialism,118Q,{5885281}
Ecology and Evolutionary Biology,EE BIOL,Conservation Biology,116,{5888087}
Conservation of Archaeological and Ethnographic Materials,CAEM,"Conservation Laboratory: Ceramics, Glass, Glazes",230,{2616}
Conservation of Archaeological and Ethnographic Materials,CAEM,Conservation Laboratory: Metals I,234,{10589373}
Conservation of Archaeological and Ethnographic Materials,CAEM,Conservation Laboratory: Organic Materials I,232,{2735}
Conservation of Archaeological and Ethnographic Materials,CAEM,Conservation Program Internship,290,"{844,2508,1124}"
Ecology and Evolutionary Biology,EE BIOL,Conservation Science: Theory and Practice,220,{255}
Art History,ART HIS,Consortium Scholar Seminar at Getty Research Institute: Seminar 1  ,207,{2600}
Communication,COMM,"Conspiracy Theories, Media, and Middle East",105,{714}
Law,LAW,Constitutional Criminal Procedure: Lecture 1  ,202,{5883691}
Anthropology,ANTHRO,Constructing Race,M144P,{5879728}
African American Studies,AF AMER,Constructing Race,M159P,{5879574}
Asian American Studies,ASIA AM,Constructing Race,M169,{5886370}
Management,MGMT,Consumer Behavior,263A,{381}
Law,LAW,Contact Drafting: Lecture 1  ,763,{5882909}
Law,LAW,Contact Drafting: Lecture 2  ,763,{5880393}
English,ENGL,Contemporary American Literature,255,{5888205}
English,ENGL,Contemporary American Poetry: Ten American Poets,173C,{1326}
Arabic,ARABIC,Contemporary Arab Film and Song,M148,{5888345}
Comparative Literature,COM LIT,Contemporary Arab Film and Song,M148,{5886142}
Art History,ART HIS,Contemporary Art: Research and Museum Practice in Chicanx and Latinx Art,232,{2989}
Art History,ART HIS,Contemporary Art: Seminar 1  ,232,{5879305}
Asian American Studies,ASIA AM,Contemporary Asian American Communities,20W,{5887694}
Asian American Studies,ASIA AM,Contemporary Asian American Literary Issues and Criticism: Lecture 1  ,M112B,{2470}
English,ENGL,Contemporary Asian American Literary Issues and Criticism: Migrant Asian American Literature,M102B,{2115}
Geography,GEOG,Contemporary China,186,{92}
French,FRNCH,Contemporary Francophone Literature,203,{607}
Public Health,PUB HLT,Contemporary Health Issues,150,"{3338,5879732}"
Theater,THEATER,Contemporary Issues in Direction,460AW,{2559}
Spanish,SPAN,Contemporary Mexican and Central Migration and Question of Human Rights,98T,{3907}
Sociology,SOCIOL,Contemporary Sociological Theory,102,"{5887766,2587,703}"
Comparative Literature,COM LIT,Contemporary Theories of Criticism: Experimental Critical Theory: Truth and Knowledge,290,{1073}
Comparative Literature,COM LIT,Contemporary Theories of Criticism: Literary Networks,290,{1862}
Comparative Literature,COM LIT,Contemporary Theories of Criticism: Media of Memory,290,{2210}
Comparative Literature,COM LIT,Contemporary Theories of Criticism: Seminar 1  ,290,{5886117}
Comparative Literature,COM LIT,Contemporary Theories of Criticism: Seminar 2  ,290,{5880890}
Comparative Literature,COM LIT,Continental African Authors,169,{5884004}
"Earth, Planetary, and Space Sciences",EPS SCI,Continental Drift and Plate Tectonics,119,{5881387}
Political Science,POL SCI,Continental Political Thought,116B,{741}
Neuroscience,NEUROSC,Continued Directed Research in Neuroscience,199C,{6206215}
"Earth, Planetary, and Space Sciences",EPS SCI,Continuum Mechanics,202,{5878802}
Law,LAW,Contract Design,900,{5885946}
Film and Television,FILM TV,Contracts and Negotiation,294A,{5879469}
Law,LAW,Contracts for Foreign Lawyers,403,{5878931}
Sociology,SOCIOL,Controlling Women's Bodies: Reproduction and State,19,{10581149}
Mechanical and Aerospace Engineering,MECH&AE,Control of Robotic Systems,263C,{5886435}
Biomathematics,BIOMATH,Controversies in Clinical Trials,259,{4934}
Sociology,SOCIOL,Conversation Analysis II,244B,{3390}
Electrical and Computer Engineering,EC ENGR,Convex Optimization,236B,{2006}
Community Health Sciences,COM HLT,Cooperative Interagency Management in Disasters,258,{5879195}
Ancient Near East,AN N EA,Coptic,C223B,{61}
Economics,ECON,Core Finance,433,{1601}
Anthropology,ANTHRO,Core Seminar: Biological Anthropology,202B,{3734}
Anthropology,ANTHRO,Core Seminar: Biological Anthropology,202C,{5879292}
Anthropology,ANTHRO,Core Seminar: Linguistic Anthropology,204B,{5879708}
Anthropology,ANTHRO,Core Seminar: Sociocultural Anthropology--Scientific and Interpretive Frameworks in Contemporary Anthropology,203C,{5884178}
Anthropology,ANTHRO,"Core Seminar: Sociocultural Anthropology--Sociocultural Systems and Ethnography, Anthropology at Mid-Century",203B,{3851}
Management,MGMT,Corporate and Partnership Taxation,127B,"{5882330,934}"
Management,MGMT,Corporate Decision Making and Incentives,222,"{5879528,1484,1267}"
Management,MGMT,Corporate Entrepreneurship,295C,{5883774}
Management,MGMT,Corporate Finance,430,"{2090,5879499,5879533,5879566}"
Management,MGMT,Corporate Financial Reporting,220,"{4456,5883996}"
Psychology,PSYCH,Corporate Internships in Cognitive Science,195B,{3113}
Film and Television,FILM TV,"Corporate Internships in Film, Television, and Digital Media",195CE,{80919}
Law,LAW,Corporate Law & Securities Regulations,506,{5886392}
Management,MGMT,Corporate Valuation,231C,"{5882302,5882359}"
Astronomy,ASTR,Cosmology: Our Changing Concepts of Universe,6,{474}
Honors Collegium,HNRS,Cossacks and Narratives about Them,80,{3324}
Theater,THEATER,Costume Construction Techniques,C157B,{3901}
Theater,THEATER,Costume Construction Techniques,C457B,{4912}
Theater,THEATER,Costume Construction Techniques,C457C,{5885422}
Theater,THEATER,Costume Design for Film and Television,C153C,{13619789}
Theater,THEATER,"Costume Design for Film, Television, and Entertainment Media",448B,{4881}
Theater,THEATER,"Costume Design for Film, Television, and Entertainment Media",448C,{5885116}
Social Welfare,SOC WLF,Craft of Social Welfare Scholarship II,229B,{1482}
Social Welfare,SOC WLF,Craft of Social Welfare Scholarship III,229C,{5886806}
Honors Collegium,HNRS,Creating Your Roadmap,50,"{5886377,4833,3825,10587029}"
English,ENGL,Creative Writing: Poetry,136,"{3629,5463}"
English,ENGL,Creative Writing: Short Story,137,"{4750,4885}"
Law,LAW,Criminal Defense Clinic,715,{5886101}
Social Welfare,SOC WLF,Criminal Justice and Mass Incarceration,290D,{1966}
Law,LAW,Criminal Trial Advocacy,720,{5887176}
